;proceedings:ID;address:string;author:string[];booktitle:string;cite:string[];cite-label:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string;isbn:string[];isbn-type:string[];journal:string;key:string;mdate:date;note:string[];note-type:string;number:string;pages:string;publisher:string[];publisher-href:string;publtype:string;school:string;series:string[];series-href:string[];sub:string;sup:string[];title:string;url:string[];volume:string;year:int
49235;8836223;;;ISSAC;;;Dongming Wang|James H. Davenport|Manuel Kauers|Russell J. Bradford;;https://doi.org/10.1145/3326229;;;978-1-4503-6084-5;;;conf/issac/2019;2019-07-30;;;;;ACM;;;;;;;;Proceedings of the 2019 on International Symposium on Symbolic and Algebraic Computation, ISSAC 2019, Beijing, China, July 15-18, 2019.;db/conf/issac/issac2019.html;;2019
26659;7482585;;;DARS;;;Maria L. Gini|Richard M. Voyles;;https://doi.org/10.1007/4-431-35881-1;;;978-4-431-35878-7|978-4-431-35881-7;;;conf/dars/2006;2019-07-26;;;;;Springer;;;;;;;;Distributed Autonomous Robotic Systems 7, Proceedings of the 8th International Symposium on Distributed Autonomous Robotic Systems, DARS 2006, Minneapolis, Minnesota, USA, 2006;db/conf/dars/dars2006.html;;2006
13500;6705292;;;Asian Test Symposium;;;;;http://www.computer.org/csdl/proceedings/ats/2005/2481/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/10525/proceeding;;;0-7695-2481-8;;;conf/ats/2005;2019-10-16;;;;;IEEE Computer Society;;;;;;;;14th Asian Test Symposium (ATS 2005), 18-21 December 2005, Calcutta, India;db/conf/ats/ats2005.html;;2005
5037;6131513;;;IWSPA@CODASPY;;;Michaël Rusinowitch|Rakesh M. Verma;;http://dl.acm.org/citation.cfm?id=2875475;;;978-1-4503-4077-9;;;conf/codaspy/2016iwspa;2016-03-15;;;;;ACM;;;;;;;;Proceedings of the 2016 ACM on International Workshop on Security And Privacy Analytics, IWSPA@CODASPY 2016, New Orleans, LA, USA, March 11, 2016;db/conf/codaspy/iwspa2016.html;;2016
46359;8633803;;;EEWC;;;David Aveiro|Duarte Gouveia|José M. Tribolet;0000-0001-6453-3648|0000-0003-1903-4561;https://doi.org/10.1007/978-3-319-06505-2|https://www.wikidata.org/entity/Q59600896;;;978-3-319-06504-5;;;conf/eewc/2014;2019-06-02;;;;;Springer;;;;Lecture Notes in Business Information Processing;db/series/lnbip/index.html;;;Advances in Enterprise Engineering VIII - 4th Enterprise Engineering Working Conference, EEWC 2014, Funchal, Madeira Island, Portugal, May 5-8, 2014. Proceedings;db/conf/eewc/eewc2014.html;174;2014
22619;7252747;;;EUROCON;;;;;https://ieeexplore.ieee.org/xpl/conhome/6596534/proceeding;;;978-1-4673-2230-0;;;conf/eurocon/2013;2019-10-16;;;;;IEEE;;;;;;;;Proceedings of Eurocon 2013, International Conference on Computer as a Tool, Zagreb, Croatia, July 1-4, 2013;db/conf/eurocon/eurocon2013.html;;2013
45045;8567482;;;ADT;;;Toby Walsh;;https://doi.org/10.1007/978-3-319-23114-3;;;978-3-319-23113-6;;;conf/aldt/2015;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Algorithmic Decision Theory - 4th International Conference, ADT 2015, Lexington, KY, USA, September 27-30, 2015, Proceedings;db/conf/aldt/adt2015.html;9346;2015
25196;7424739;;;IVEVA;;;Carlos Delgado-Mata|Jesús Ibáñez 0001;;http://ceur-ws.org/Vol-97|https://nbn-resolving.org/urn:nbn:de:0074-97-5;oa;;;;;conf/iveva/2004;2020-02-12;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Intelligent Virtual Environments and Virtual Agents, Proceedings of the IVEVA 2004 Workshop, ITESM Campus Ciudad de Mexico, Mexico City, D.F , Mexico, April 27th 2004;db/conf/iveva/iveva2004.html;97;2004
12603;6609697;;;HPCC;;;Che-Lun Hung|Che-Rung Lee|Justin Y. Shi|Laurence Tianruo Yang|Lin-Huang Chang|Parimala Thulasiraman|Qiwen Pan|Xingang Liu|Yaw-Chung Chen|Ying Zhang|Yo-Ping Huang;;https://ieeexplore.ieee.org/xpl/conhome/6062562/proceeding;;;978-1-4577-1564-8;;;conf/hpcc/2011;2019-10-16;;;;;IEEE;;;;;;;;13th IEEE International Conference on High Performance Computing & Communication, HPCC 2011, Banff, Alberta, Canada, September 2-4, 2011;db/conf/hpcc/hpcc2011.html;;2011
41764;8390823;;;WORKS@SC;;;Ian J. Taylor|Johan Montagnat;;https://doi.org/10.1145/2822332;;;978-1-4503-3989-6;;;conf/sc/2015works;2018-11-06;;;;;ACM;;;;;;;;Proceedings of the 10th Workshop on Workflows in Support of Large-Scale Science, WORKS 2015, Austin, Texas, USA, November 15, 2015;db/conf/sc/works2015.html;;2015
